cdp	depth	vel
10.0	10.8	1540.6665129971595
10.0	11.8	1675.4048013671052
10.0	12.8	1768.0667830721213
10.0	13.8	1793.1324607746574
10.0	14.8	1828.5731254454201
10.0	15.8	1687.229008630424
10.0	16.8	1561.1798960853248
10.0	17.8	1486.6098414033745
10.0	18.8	1467.7181034320924
10.0	19.8	1479.2815921700308
10.0	20.8	1373.407417204272
10.0	21.8	1302.1866053646522
10.0	22.8	1287.2329295071097
10.0	23.8	1292.6280889946313
10.0	24.8	1304.188798352696
10.0	25.8	1277.8266665730566
10.0	26.8	1285.4392692711424
10.0	27.8	1226.222784553526
10.0	28.8	1155.1904333602001
10.0	29.8	1114.962072217591
11.0	1.8	388.1580380990911
11.0	2.8	424.9160861591181
11.0	3.8	551.4997093342714
11.0	4.8	625.5996735885345
11.0	5.8	698.4220480591752
11.0	6.8	830.0224977949886
11.0	7.8	928.3218644369445
11.0	8.8	1137.855208404722
11.0	9.8	1430.9260769347677
11.0	10.8	1540.6665129971595
11.0	11.8	1675.4048013671052
11.0	12.8	1768.0667830721213
11.0	13.8	1793.1324607746574
11.0	14.8	1828.5731254454201
11.0	15.8	1687.229008630424
11.0	16.8	1561.1798960853248
11.0	17.8	1486.6098414033745
11.0	18.8	1467.7181034320924
11.0	19.8	1479.2815921700308
11.0	20.8	1373.407417204272
11.0	21.8	1302.1866053646522
11.0	22.8	1287.2329295071097
11.0	23.8	1292.6280889946313
11.0	24.8	1304.188798352696
11.0	25.8	1277.8266665730566
11.0	26.8	1285.4392692711424
11.0	27.8	1226.222784553526
11.0	28.8	1155.1904333602001
11.0	29.8	1114.962072217591
12.0	1.8	388.1580380990911
12.0	2.8	424.9160861591181
12.0	3.8	551.4997093342714
12.0	4.8	625.5996735885345
12.0	5.8	698.4220480591752
12.0	6.8	830.0224977949886
12.0	7.8	928.3218644369445
12.0	8.8	1137.855208404722
12.0	9.8	1430.9260769347677
12.0	10.8	1540.6665129971595
12.0	11.8	1675.4048013671052
12.0	12.8	1768.0667830721213
12.0	13.8	1793.1324607746574
12.0	14.8	1828.5731254454201
12.0	15.8	1687.229008630424
12.0	16.8	1561.1798960853248
12.0	17.8	1486.6098414033745
12.0	18.8	1467.7181034320924
12.0	19.8	1479.2815921700308
12.0	20.8	1373.407417204272
12.0	21.8	1302.1866053646522
12.0	22.8	1287.2329295071097
12.0	23.8	1292.6280889946313
12.0	24.8	1304.188798352696
12.0	25.8	1277.8266665730566
12.0	26.8	1285.4392692711424
12.0	27.8	1226.222784553526
12.0	28.8	1155.1904333602001
12.0	29.8	1114.962072217591
13.0	1.8	388.1580380990911
13.0	2.8	424.9160861591181
13.0	3.8	551.4997093342714
13.0	4.8	625.5996735885345
13.0	5.8	698.4220480591752
13.0	6.8	830.0224977949886
13.0	7.8	928.3218644369445
13.0	8.8	1137.855208404722
13.0	9.8	1430.9260769347677
13.0	10.8	1540.6665129971595
13.0	11.8	1675.4048013671052
13.0	12.8	1768.0667830721213
13.0	13.8	1793.1324607746574
13.0	14.8	1828.5731254454201
13.0	15.8	1687.229008630424
13.0	16.8	1561.1798960853248
13.0	17.8	1486.6098414033745
13.0	18.8	1467.7181034320924
13.0	19.8	1479.2815921700308
13.0	20.8	1373.407417204272
13.0	21.8	1302.1866053646522
13.0	22.8	1287.2329295071097
13.0	23.8	1292.6280889946313
13.0	24.8	1304.188798352696
13.0	25.8	1277.8266665730566
13.0	26.8	1285.4392692711424
13.0	27.8	1226.222784553526
13.0	28.8	1155.1904333602001
13.0	29.8	1114.962072217591
14.0	1.8	388.1580380990911
14.0	2.8	424.9160861591181
14.0	3.8	551.4997093342714
14.0	4.8	625.5996735885345
14.0	5.8	698.4220480591752
14.0	6.8	830.0224977949886
14.0	7.8	928.3218644369445
14.0	8.8	1137.855208404722
14.0	9.8	1430.9260769347677
14.0	10.8	1540.6665129971595
14.0	11.8	1675.4048013671052
14.0	12.8	1768.0667830721213
14.0	13.8	1793.1324607746574
14.0	14.8	1828.5731254454201
14.0	15.8	1687.229008630424
14.0	16.8	1561.1798960853248
14.0	17.8	1486.6098414033745
14.0	18.8	1467.7181034320924
14.0	19.8	1479.2815921700308
14.0	20.8	1373.407417204272
14.0	21.8	1302.1866053646522
14.0	22.8	1287.2329295071097
14.0	23.8	1292.6280889946313
14.0	24.8	1304.188798352696
14.0	25.8	1277.8266665730566
14.0	26.8	1285.4392692711424
14.0	27.8	1226.222784553526
14.0	28.8	1155.1904333602001
14.0	29.8	1114.962072217591
15.0	1.8	388.1580380990911
15.0	2.8	424.9160861591181
15.0	3.8	551.4997093342714
15.0	4.8	625.5996735885345
15.0	5.8	698.4220480591752
15.0	6.8	830.0224977949886
15.0	7.8	928.3218644369445
15.0	8.8	1137.855208404722
15.0	9.8	1430.9260769347677
15.0	10.8	1540.6665129971595
15.0	11.8	1675.4048013671052
15.0	12.8	1768.0667830721213
15.0	13.8	1793.1324607746574
15.0	14.8	1828.5731254454201
15.0	15.8	1687.229008630424
15.0	16.8	1561.1798960853248
15.0	17.8	1486.6098414033745
15.0	18.8	1467.7181034320924
15.0	19.8	1479.2815921700308
15.0	20.8	1373.407417204272
15.0	21.8	1302.1866053646522
